question,document
What do I need to update in the .env file if python prep.py throws a postgres host resolution error?,4b65d5542d
How do I make Pandas show the full text in a column instead of cutting it off?,641aedbbf5
"In the offline-rag-evaluation notebook, how can I see the entire Explanation field from the LLM judge output?",641aedbbf5
"Why does Pandas only display about 50 characters in my text column, and how do I change that?",641aedbbf5
What setting do I use to stop Pandas from truncating long strings in dataframe columns?,641aedbbf5
Is there a way to make Pandas show unlimited column width for long judge explanations?,641aedbbf5
How can I normalize vectors stored in a Pandas DataFrame column?,5039707c1a
What’s the easiest way to turn each vector in a Pandas Series into a unit vector?,5039707c1a
Can I use apply with NumPy to normalize a column of vectors in Pandas?,5039707c1a
How do I divide each row vector by its norm in a DataFrame column?,5039707c1a
Is there a simple lambda function for normalizing vector entries in a Pandas column?,5039707c1a
How do I get the 75th percentile of a pandas DataFrame column?,b4c8ac5a0c
What's the pandas way to compute a 0.75 quantile for a Series?,b4c8ac5a0c
How can I find a percentile value from one column in a DataFrame using pandas?,b4c8ac5a0c
Is there a simple function in pandas to calculate quantiles for a column?,b4c8ac5a0c
How do I retrieve the 75% cutoff from a pandas column?,b4c8ac5a0c
"How do I wipe out every Docker container from the terminal, including ones that are still running?",66ccbb7da0
What’s the command to force-remove all Docker images on my machine?,66ccbb7da0
Is there a quick way to delete every Docker volume using the CLI?,66ccbb7da0
"How can I clean up Docker completely by removing all containers, images, and volumes at once?",66ccbb7da0
What terminal commands should I run if I want to reset Docker and clear out everything?,66ccbb7da0
"How can I make sure a user can only give one feedback vote, like +1 or -1, for each submitted answer in Streamlit?",2e729f1271
Why does my `st.session.submitted` keep becoming `True` again after I click a feedback button?,2e729f1271
"In Streamlit, what’s the right way to disable the feedback buttons after the user clicks Ask and submits text?",2e729f1271
I’m having an issue where session state gets changed back even after one feedback option is pressed — where should I look for the fix?,2e729f1271
Does anyone know how to stop `st.session.submitted` from being reassigned after feedback is given once?,2e729f1271
"Why do I get `exec: ""streamlit"": executable file not found in $PATH` when starting my app with docker-compose, even though it works locally?",e8df9f0d12
What do I need to change in my Docker setup so a Streamlit app can run inside docker-compose?,e8df9f0d12
Do I have to add a Dockerfile or something else if docker-compose can't find the `streamlit` command?,e8df9f0d12
How can I fix the `OCI runtime create failed` error when launching a Streamlit container with docker-compose?,e8df9f0d12
"After editing my docker-compose config for Streamlit, what command should I run to rebuild and start everything again?",e8df9f0d12
"Can we do the capstone together as a team, or does each person need to submit their own project?",0fab61eca2
"If we brainstorm the project with other students, is that allowed for the capstone?",0fab61eca2
Could two people work on one system if we split it into separate parts and submit them separately?,0fab61eca2
What happens if my capstone can't be reviewed independently from my partner's work?,0fab61eca2
"Does the capstone have to be an individual repo, or can a shared repository be used?",0fab61eca2
"Do I have to submit two capstone projects, or is one enough?",d5fc98925d
What’s the difference between attempt 1 and attempt 2 for the project submission?,d5fc98925d
"If my first project submission doesn’t pass, can I fix it and send it again later?",d5fc98925d
"Can I turn in two projects just to get more practice, and if so do they need to be on different topics or datasets?",d5fc98925d
"If I miss the first submission deadline, can I still submit in the second window and keep the certificate eligibility?",d5fc98925d
"Can I use the competition as my capstone project, or are they separate things?",e892d44e42
"If I join the math-kaggle-llm competition with a team, does that still count toward the capstone?",e892d44e42
"Is the capstone in this section supposed to be done solo, even if I’m competing with others?",e892d44e42
Does taking part in the Kaggle competition replace the individual capstone requirement?,e892d44e42
"Can I team up for the competition, or does the capstone have to be an individual submission?",e892d44e42
How will my capstone project be graded in the end?,9a2e2d2008
Who actually reviews the capstone project after I submit it?,9a2e2d2008
"Do I need to review other students' capstone projects too, or only my own?",9a2e2d2008
What happens if I don’t do the required peer grading for three classmates?,9a2e2d2008
"Is the final capstone score based on one review, or some kind of average from the reviewers?",9a2e2d2008
"After the capstone submission deadline, how are the projects for review actually assigned to us?",eae0fb50aa
"Will we get a list or some kind of sheet with the projects we need to grade, and when does it show up?",eae0fb50aa
How many capstone projects is each participant expected to review after submissions close?,eae0fb50aa
"Once the deadline passes, do we get assigned random projects or is there a fixed process for grading them?",eae0fb50aa
"When exactly should I expect the review assignments for the capstone, and how many will there be?",eae0fb50aa
"I already sent in my capstone project, so why am I not able to review other submissions yet?",a8a7fef016
"After the deadline is over, how do the project review assignments work exactly?",a8a7fef016
"Can I pick which capstone projects I want to evaluate, or are they assigned to me automatically?",a8a7fef016
Why am I seeing no projects to review even though I’ve finished submitting mine?,a8a7fef016
Do I have to wait for the review list to be published before I can start evaluating projects?,a8a7fef016
Where can I look for project ideas and dataset suggestions for the capstone?,e76a70cde3
Is there a page with some example datasets and ideas I can use for this project?,e76a70cde3
What’s the best place to find tips and guidelines for choosing a capstone project topic?,e76a70cde3
Do you have a GitHub link with possible project ideas and datasets for the capstone?,e76a70cde3
I’m stuck on picking a project — where can I find inspiration and some dataset options?,e76a70cde3
"Do I need to use Airflow, Mage, or Kestra in the capstone project, or is a plain Python script enough?",d4f7c08ea1
Can I get full points for the ingestion pipeline if I just write a Python script to ingest and index the data?,d4f7c08ea1
"If I do the ingestion steps in a Jupyter notebook, how many points is that worth for the capstone?",d4f7c08ea1
Should I add an orchestration tool to my project even if it doesn’t really fit the use case?,d4f7c08ea1
"When would it actually make sense to use an orchestrator for the capstone, like for a data feed that updates every day?",d4f7c08ea1
How can I evaluate a recommender-style RAG when there isn't a clear ground-truth answer?,9b0e2d6a47
What’s a good way to create test queries for each item so I can check retrieval quality?,9b0e2d6a47
"Should I use hit rate, MRR, or NDCG for a ranking-style RAG project?",9b0e2d6a47
How do I set up an LLM-as-a-judge to score the end-to-end output of my RAG?,9b0e2d6a47
"For recommendations where multiple results could be fine, is NDCG better than just checking the top hit?",9b0e2d6a47
How should I chunk a really large corpus of PDFs with lots of paragraphs for my capstone search app?,6f2a8b3d10
Is it better to start with simple fixed-size chunks or try an LLM-based document splitter right away?,6f2a8b3d10
"Should I generate short summaries for each chunk before indexing, and does that help retrieval?",6f2a8b3d10
"For long structured docs like legal or financial files, when does hybrid search make more sense than only dense embeddings?",6f2a8b3d10
What PDF parsing tools are good for turning messy PDFs into clean markdown before chunking?,6f2a8b3d10
"For the capstone, what does reproducibility actually mean — do I need to give reviewers my API keys?",e5d8a2c761
How should I set up the repo so someone can clone it and rebuild the search index from scratch?,e5d8a2c761
What’s the right way to handle environment variables in the project — should I include a .env file or just an example?,e5d8a2c761
Which model should I use in the project so reviewers don’t waste a lot of credits when they test it?,e5d8a2c761
"What should I pin or document so my project runs the same way for other people, like package versions and Python or Docker?",e5d8a2c761
"Do I have to use Python for the homework and capstone, or can I build everything in JavaScript or Go instead?",ea815eb858
"Is it okay to do the final project in a non-Python stack, and what would the grader expect from me if I do?",ea815eb858
"If I use TypeScript, Rust, Java, Scala, C#, or R for the course work, do I need to add extra setup instructions in the README?",ea815eb858
What kind of documentation should I provide if I submit the project in a language other than Python?,ea815eb858
"For a non-Python submission, do I need to include platform-specific run steps for Windows, macOS, and Linux so it’s easy to review?",ea815eb858
Where do I look for past LLM Zoomcamp capstone projects from previous cohorts?,930286278d
Is there a place to see examples of submitted LLM Zoomcamp projects before starting mine?,930286278d
Can I check old LLM Zoomcamp project repos to understand what the capstone should look like?,930286278d
Where are the 2024 and 2025 LLM Zoomcamp project submissions listed?,930286278d
Do you have links to earlier LLM Zoomcamp projects so I can gauge the expected scope?,930286278d
"Do I have to announce my capstone project idea before I start, or can I just begin without reserving it?",897a350476
Is there any need to claim or book a project topic in advance for the LLM Zoomcamp capstone?,897a350476
"Can I use a project idea that’s similar to someone else’s, or does it have to be completely unique?",897a350476
Where should I ask if I want feedback on my capstone project idea before building it?,897a350476
"Is it okay to base my capstone on a topic that was already done in previous years, as long as I implement it myself?",897a350476
Can I build my capstone as a Telegram or WhatsApp bot instead of a website?,7318a90b14
"Is a web app required for the project, or can I use a CLI or notebook too?",7318a90b14
Are there any rules about what kind of interface the user should get for the capstone?,7318a90b14
"If I want to use Slack or another chat app, is that allowed for the project?",7318a90b14
"Will the course show how to make the UI, or do I need to handle the interface part myself?",7318a90b14
What are some good tools to pull text out of PDFs for a RAG project?,d8b28c47a0
"If my PDFs are scanned images and don’t have a text layer, what should I use for OCR?",d8b28c47a0
Is there a recommended library in the course for converting documents to Markdown or JSON for RAG?,d8b28c47a0
"Should I use local extraction tools like PyMuPDF or an online OCR service, and how do I choose?",d8b28c47a0
What’s the best way to test different PDF extraction options before building my RAG pipeline?,d8b28c47a0
"Can I use the workshop content in my own capstone project, or is it just for the class?",d850a0e7ea
"Is it okay to reuse the dlt workshop materials in another Zoomcamp project, like MLOps?",d850a0e7ea
"Since dlt is open-source, can I build something with it outside this workshop and course?",d850a0e7ea
Am I allowed to ask questions about the workshop while using it in my own project?,d850a0e7ea
Can I take the data loading ideas from this workshop and apply them directly to a project of mine?,d850a0e7ea
How do I create a new dlt project for loading data from the cloud into DuckDB?,6bceeebf04
What command should I run to initialize a filesystem-based dlt setup with DuckDB?,6bceeebf04
"If I'm starting a fresh dlt project for cloud data ingestion, what's the first terminal command?",6bceeebf04
How can I initialize dlt for a filesystem source and DuckDB destination?,6bceeebf04
Is there a quick way to set up dlt for loading files from cloud storage into DuckDB?,6bceeebf04
"Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I try `db.open_table(""notion_pages___homework"")`?",0407213397
What am I missing if the table open call says I should first create `notion_pages___homework`?,0407213397
"I changed the table name, but it still looks for `notion_pages___homework` — what setting did I forget to update?",0407213397
How can I fix the error when opening `notion_pages___homework` in my dlt pipeline?,0407213397
Why is my pipeline still using `employee_handbook` somewhere even though I renamed it to `homework`?,0407213397
How do I fix the FileNotFoundError saying the notion_pages___homework table does not exist when I run main()?,e95bfafc0e
"Why am I getting an error that asks me to call db.create_table(notion_pages___homework, data) first?",e95bfafc0e
"In the dlt workshop, what table name should I open instead of the one I used on line 3?",e95bfafc0e
My code crashes because the homework table is missing — what is the correct db.open_table call?,e95bfafc0e
Is there a typo in the table name for line 3 if I see FileNotFoundError for notion_pages___homework?,e95bfafc0e
How can I see all tables in the database?,e394e6f738
Is there a way to list the db tables with dlt?,e394e6f738
What method should I use to get the table names?,e394e6f738
How do I check which tables exist in my database?,e394e6f738
Can I use db.table_names() to print the tables?,e394e6f738
Does dlt already support ClickHouse or StarRocks connectors?,cd19f122f3
Can I use dlt to load data into ClickHouse or StarRocks right now?,cd19f122f3
Are there any built-in connectors in dlt for ClickHouse and StarRocks?,cd19f122f3
Why doesn't dlt have ClickHouse or StarRocks connectors yet?,cd19f122f3
Is the community able to add ClickHouse or StarRocks support to dlt?,cd19f122f3
Why am I getting a 401 Unauthorized when the notebook calls Notion’s search endpoint?,0dfba07ace
What should I check if the notebook says it doesn’t have secret access to Notion?,0dfba07ace
Could this Notion API error mean my key is wrong or missing permissions?,0dfba07ace
Do I need to regenerate the token if the notebook can’t access api.notion.com/v1/search?,0dfba07ace
What are the main things to verify when Notion API authentication keeps failing in the notebook?,0dfba07ace
How do I install requests 2.32.3 from GitHub instead of getting the older pip version?,4b30b918bc
"Why am I stuck on requests v2.28 when lancedb wants 2.32, and what’s the fix?",4b30b918bc
What pip command can I use to force-install the newer requests release from the source zip?,4b30b918bc
"If I get a 401 Client Error, does it mean my key is wrong or access needs to be granted?",4b30b918bc
"In the dlt workshop, how do I solve the requests version mismatch for lancedb without using the default package version?",4b30b918bc
